Account Number,Description,2023 ACTUAL,2024 ACTUAL,2025 BUDGET,2026 BUDGET
010-146-53010,ADVERTISING,445.00,89.00,"2,200.00","2,200.00"
010-146-53020,RECORDING FEES,"2,205.00",0.00,"3,500.00","3,500.00"
010-146-57100,IN STATE TRAVEL,79.00,0.00,100.00,100.00
010-146-57101,MEETINGS AND SEMINARS,506.00,351.00,650.00,650.00
010-146-57300,DUES AND SUBSCRIPTIONS,75.00,75.00,120.00,150.00
010-147-51110,DEPT HEAD SALARY,"62,781.00","64,351.00","66,282.00","68,271.00"
010-147-51130,CLERK WAGES,0.00,0.00,"5,000.00","15,000.00"
010-147-53000,PROFESSIONAL AND TECHNICAL,"19,475.00","15,307.00","23,000.00","25,000.00"
010-151-53000,PROFESSIONAL AND TECHNICAL,"36,837.00","31,117.00","50,000.00","50,000.00"
010-152-51440,EDUCATIONAL BENEFIT,430.00,0.00,"1,500.00","1,500.00"
010-152-52000,GENERAL EXPENSES,"8,136.00","8,839.00","14,191.00","8,000.00"
010-152-53000,PROFESSIONAL AND TECHNICAL,"3,252.00","2,946.00","3,500.00","3,500.00"
010-152-53001,STAFF DEVELOPMENT,382.00,202.00,700.00,700.00
010-152-54210,POLICE CHIEF SEARCH,0.00,"5,790.00","15,000.00",0.00
010-155-51110,SALARY,"77,000.00","78,925.00","81,293.00","83,732.00"
010-155-52400,REPAIR AND MAINT,0.00,0.00,"5,000.00","5,000.00"
010-155-53000,SUPPORT AND PROGRAMMING,"45,167.00","57,944.00","60,500.00","60,500.00"
010-155-55800,OTHER SUPPLIES,213.00,255.00,250.00,250.00
010-155-57900,CONTRACT SERVICES,"30,175.00","24,578.00","20,000.00","20,000.00"
010-155-58700,REPLACEMENT EQUIPMENT,0.00,0.00,"2,000.00","2,000.00"
010-161-51110,SALARY,"77,581.00","79,521.00","86,571.00","89,168.00"
010-161-51140,"WAGES, PART-TIME","31,538.00","32,123.00","35,941.00","36,554.00"
010-161-51380,LONGEVITY,0.00,0.00,0.00,800.00
010-161-54210,PRINTING,"5,345.00","5,822.00","7,500.00","7,500.00"
010-161-57101,MEETINGS AND SEMINARS,0.00,0.00,100.00,100.00
010-161-57300,DUES AND SUBSCRIPTIONS,0.00,0.00,200.00,200.00
010-162-51111,"SALARY, ELECTED/BOARD","1,500.00","1,500.00","1,500.00","1,750.00"
010-162-51140,"WAGES, PART-TIME","8,141.00","9,750.00","15,000.00","6,000.00"
010-162-52000,GENERAL EXPENSES,438.00,"1,594.00","4,000.00","4,000.00"
010-162-52400,REPAIR AND MAINT,600.00,"1,500.00","2,000.00","2,000.00"
010-162-53000,PROFESSIONAL AND TECHNICAL,0.00,100.00,"2,000.00","2,000.00"
010-162-54210,PRINTING,"3,537.00","4,460.00","5,000.00","2,000.00"
010-171-51130,WAGES,"35,225.00","36,099.00","41,186.00","43,724.00"
010-171-52000,GENERAL EXPENSES,0.00,201.00,"5,000.00","5,000.00"
010-171-57101,MEETINGS AND SEMINARS,0.00,0.00,500.00,500.00
010-171-57300,DUES AND SUBSCRIPTIONS,643.00,653.00,653.00,680.00
010-172-52400,REPAIR AND MAINTENANCE,750.00,750.00,750.00,750.00
010-173-53000,PROFESSIONAL AND TECHNICAL,0.00,0.00,"6,000.00","6,000.00"
010-175-51110,"WAGES, FULL TIME","92,635.00","94,951.00","97,800.00","100,734.00"
010-175-51130,"WAGES, PART TIME","20,256.00","20,655.00","27,122.00","27,936.00"
010-175-51380,"WAGES, LONGEVITY",0.00,0.00,800.00,0.00
010-175-53000,PROFESSIONAL AND TECHNICAL,914.00,"2,000.00","2,000.00","2,500.00"
010-175-53001,PRINTING AND MAPPING,"2,088.00","1,934.00","2,450.00","2,450.00"
010-175-53010,PUBLIC OUTREACH/ADVERTISING,500.00,"1,321.00","1,300.00","1,300.00"
010-175-54200,OFFICE SUPPLIES,200.00,172.00,200.00,200.00
010-175-57100,IN STATE TRAVEL,144.00,106.00,150.00,150.00
010-175-57101,MEETINGS AND SEMINARS,"3,140.00",709.00,"3,250.00","3,250.00"
010-175-57300,DUES AND SUBSCRIPTIONS,386.00,520.00,520.00,520.00
010-176-53000,PROFESSIONAL AND TECHNICAL,0.00,0.00,200.00,200.00
010-176-57300,DUES AND SUBSCRIPTIONS,0.00,0.00,100.00,100.00
010-192-51120,"WAGES, CUSTODIAL AND MAINT.","10,000.00","10,000.00","10,000.00","10,300.00"
010-192-52000,GENERAL EXPENSES,"5,665.00",0.00,0.00,0.00
010-192-52100,ELECTRICITY,"31,768.00","25,321.00","32,000.00","32,000.00"
010-192-52110,HEATING,"14,332.00","9,216.00","14,000.00","14,000.00"
010-192-52400,REPAIR AND MAINT,"8,815.00","3,152.00","5,000.00","5,000.00"
010-192-53395,FIBER OPTIC MAINTENANCE,0.00,0.00,0.00,"6,000.00"
010-192-53400,TELEPHONE,"15,624.00","14,791.00","20,000.00","20,000.00"
010-192-53405,INTERNET,"30,194.00","30,507.00","28,500.00","28,500.00"
010-192-53410,POSTAGE,-487.00,0.00,0.00,0.00
010-192-54300,BUILDING REPAIR AND MAINT,"20,717.00","21,003.00","28,000.00","28,000.00"
010-192-55800,OTHER SUPPLIES,"3,713.00","3,714.00","3,000.00","3,000.00"
010-192-57900,CONTRACT SERVICES,"14,995.00","16,016.00","12,000.00","15,000.00"
010-192-58510,OFFICE EQUIP AND FURNITURE,977.00,956.00,"1,000.00","1,000.00"
010-192-58700,REPLACEMENT EQUIPMENT,"3,332.00","2,486.00","2,500.00","2,500.00"
010-195-54210,PRINTING,"2,181.00","1,990.00","2,500.00","2,500.00"
010-199-51120,DEPARTMENT HEAD,"82,817.00","78,707.00","87,434.00","90,057.00"
010-199-51130,"WAGES, ASSISTANT","43,051.00","43,839.00","52,916.00","54,503.00"
010-199-51140,"WAGES, PART TIME","4,296.00","8,736.00","10,000.00","10,000.00"
010-199-51310,"WAGES, OVERTIME",0.00,548.00,0.00,0.00
010-199-51700,HEALTH INSURANCE,0.00,0.00,0.00,"6,000.00"
010-199-52000,GENERAL EXPENSES,"3,000.00",176.00,"3,000.00","5,000.00"
010-199-53000,MEDICARE TAXES,"1,000.00","1,999.00","1,000.00","2,200.00"
010-210-51110,"SALARY, DEPARTMENT HEAD","174,250.00","178,606.00","183,964.00","172,000.00"
010-210-51120,"WAGES, F-T PATROLMAN","717,748.00","684,316.00","800,000.00","894,947.00"
010-210-51121,"WAGES, F-T SERGEANTS","359,248.00","447,038.00","477,547.00","494,427.00"
010-210-51122,"WAGES, F-T DISPATCHERS","163,990.00","185,478.00","232,400.00","233,958.00"
010-210-51130,"WAGES, SECRETARY","20,060.00","1,440.00","50,341.00","50,341.00"
010-210-51140,"WAGES, PART-TIME PATROLMEN","78,926.00","79,820.00","60,000.00","55,917.00"
010-210-51150,"WAGES, LIEUTENANT","129,641.00","133,940.00","146,838.00","150,904.00"
010-210-51170,"WAGES, SCHOOL RESOURCE OFFICER",0.00,"6,933.00",0.00,0.00
010-210-51310,OVERTIME,"200,771.00","198,377.00","102,000.00","102,000.00"
010-210-51330,HOLIDAY,"49,466.00","64,345.00","40,000.00","50,000.00"
010-210-51340,COURT TIME,"12,812.00","12,499.00","21,000.00","22,050.00"
010-210-51420,SHIFT DIFFERENTIAL,"36,435.00","38,635.00","34,748.00","46,960.00"
010-210-51425,SHIFT SUPERVISOR PAY,"9,003.00","6,671.00","9,940.00","13,900.00"
010-210-51440,LONGEVITY,"3,300.00","3,700.00","4,100.00","3,575.00"
010-210-52000,GENERAL EXPENSES,509.00,153.00,0.00,0.00
010-210-52005,UNIFORM ALLOWANCE,"21,281.00","19,297.00","19,250.00","19,250.00"
010-210-52100,ELECTRICITY,"33,376.00","31,919.00","36,000.00","36,000.00"
010-210-52300,PROPANE,"12,579.00","15,680.00","17,000.00","17,000.00"
010-210-52400,REPAIR AND MAINT,"34,067.00","24,004.00","34,000.00","34,000.00"
010-210-52500,RUBBISH REMOVAL,-121.00,"1,385.00","1,000.00","1,000.00"
010-210-52600,LANDSCAPING,"4,250.00","4,910.00","5,000.00","5,000.00"
010-210-53000,PROFESSIONAL AND TECHNICAL,"1,624.00","2,522.00","8,600.00","8,600.00"
010-210-53010,ADVERTISING,0.00,0.00,250.00,250.00
010-210-53400,TELEPHONE/CABLE/INTERNET,"15,784.00","13,497.00","17,000.00","17,000.00"
010-210-53410,POSTAGE,22.00,20.00,100.00,100.00
010-210-54200,OFFICE SUPPLIES,"1,880.00","4,473.00","2,250.00","2,250.00"
010-210-54210,PRINTING,508.00,"2,557.00","1,000.00","1,000.00"
010-210-54800,VEHICULAR SUPPLIES,425.00,0.00,500.00,500.00
010-210-55800,OTHER SUPPLIES,"8,954.00","13,054.00","15,000.00","15,000.00"
010-210-56000,R&D COMPUTER NET,"25,373.00","26,451.00","34,885.00","34,885.00"
010-210-57100,IN STATE TRAVEL,438.00,471.00,"2,000.00","2,000.00"
010-210-57101,MEETINGS AND SEMINARS,"7,933.00","8,020.00","7,500.00","7,500.00"
010-210-57200,OUT OF STATE TRAVEL,0.00,442.00,500.00,500.00
010-210-57300,DUES AND SUBSCRIPTIONS,"5,199.00","5,952.00","3,500.00","3,500.00"
010-210-58500,ADDITIONAL EQUIPMENT,"1,013.00",446.00,"7,322.00","7,322.00"
010-210-58510,OFFICE EQUIP AND FURNITURE,0.00,0.00,"1,860.00","1,860.00"
010-210-58600,BODY ARMOR,0.00,850.00,"2,000.00","2,000.00"
010-210-58700,REPLACEMENT EQUIPMENT,"5,554.00","2,621.00","6,500.00","6,500.00"
010-210-58702,DRUG TASK FORCE,"1,500.00",0.00,"2,000.00","2,000.00"
010-220-51110,"SALARY, DEPARTMENT HEAD","130,000.00","133,250.00","136,582.00","140,679.00"
010-220-51120,"WAGES, F/T FIREFIGHTERS","173,720.00","177,362.00","184,370.00","189,901.00"
010-220-51140,"WAGES, P/T FIREFIGHTERS","51,222.00","60,323.00","56,830.00","58,535.00"
010-220-51150,"WAGES, PT SECRETARY","21,117.00","24,286.00","26,966.00","27,775.00"
010-220-51190,PART-TIME MECHANIC WAGES,"2,565.00","3,217.00","5,520.00","5,686.00"
010-220-51310,OVERTIME,"43,679.00","39,640.00","30,000.00","40,000.00"
010-220-51441,EDUCATIONAL BENEFIT,"50,182.00","52,989.00","59,500.00","61,285.00"
010-220-52005,UNIFORM ALLOWANCE,"16,420.00","16,477.00","16,500.00","16,500.00"
010-220-52100,ELECTRICITY,"1,357.00","1,459.00","2,500.00","2,500.00"
010-220-52110,HEATING,"9,254.00","9,290.00","9,000.00","9,000.00"
010-220-52400,REPAIR AND MAINT,"44,787.00","35,193.00","37,500.00","40,000.00"
010-220-52401,REPAIR AND MAINT - RADIOS,"2,057.00","5,500.00","5,500.00","6,000.00"
010-220-52500,OTHER UTILITIES,380.00,516.00,600.00,600.00
010-220-53000,PROFESSIONAL AND TECHNICAL,"26,562.00","35,776.00","36,500.00","40,000.00"
010-220-53400,TELEPHONE,"2,348.00","2,369.00","2,400.00","2,400.00"
010-220-54200,OFFICE SUPPLIES,"1,003.00","1,129.00","1,250.00","1,250.00"
010-220-54210,PRINTING,0.00,0.00,250.00,250.00
010-220-54220,MEDICAL SUPPLIES,"1,607.00","2,304.00","2,500.00","2,500.00"
010-220-54800,VEHICULAR SUPPLIES,"1,010.00","2,497.00","2,500.00","2,500.00"
010-220-55800,OTHER SUPPLIES,"2,069.00","2,266.00","2,500.00","2,500.00"
010-220-57100,IN STATE TRAVEL,40.00,147.00,200.00,200.00
010-220-57101,MEETINGS AND SEMINARS,350.00,"1,237.00","1,250.00","1,250.00"
010-220-57200,OUT OF STATE TRAVEL,0.00,0.00,200.00,200.00
010-220-57300,DUES AND SUBSCRIPTIONS,829.00,885.00,"1,000.00","1,000.00"
010-220-58500,ADDITIONAL EQUIPMENT,998.00,"2,490.00","2,500.00","2,500.00"
010-220-58510,OFFICE EQUIP AND FURNITURE,590.00,998.00,"1,000.00","1,000.00"
010-220-58600,CODE RED,"4,783.00","5,166.00","5,166.00","5,700.00"
010-220-58700,REPLACEMENT EQUIPMENT,"2,927.00","2,492.00","2,500.00","2,500.00"
010-220-58701,MOTOR EQUIPMENT,859.00,978.00,"1,000.00","1,000.00"
010-230-57900,CONTRACT SERVICES,"98,760.00","100,735.00","102,750.00","104,805.00"
010-241-51110,"SALARY, DEPARTMENT HEAD","87,501.00","89,688.00","92,379.00","95,150.00"
010-241-51120,WAGES FULL-TIME,"41,163.00","42,115.00","49,423.00","50,906.00"
010-241-51130,"SALARY, INSPECTOR","1,646.00","1,687.00","1,687.00","1,737.00"
010-241-51140,"WAGES, ZONING BD MEETINGS",750.00,"2,500.00","4,000.00","4,000.00"
010-241-51150,"WAGES, BACK UP INSPECTOR",0.00,0.00,"1,000.00","1,000.00"
010-241-51380,"WAGES, LONGEVITY",0.00,0.00,0.00,800.00
010-241-53000,PERMITTING SOFTWARE MAINT.,"13,000.00","13,650.00","14,910.00","15,015.00"
010-241-53400,TELEPHONE,"1,601.00","1,560.00","2,000.00","2,000.00"
010-241-54200,OFFICE SUPPLIES,66.00,0.00,500.00,500.00
010-241-57100,IN STATE TRAVEL,495.00,171.00,"2,000.00","2,000.00"
010-241-57101,MEETINGS AND SEMINARS,250.00,300.00,300.00,300.00
010-241-57300,DUES AND SUBSCRIPTIONS,200.00,210.00,300.00,300.00
010-243-51130,"SALARY, PART-TIME","15,673.00","26,000.00","26,780.00","26,780.00"
010-243-51140,"WAGES, ALTERNATE INSP","1,646.00","1,687.00","1,687.00","3,000.00"
010-243-51150,"WAGES, BACK UP INSPECTOR","1,100.00",0.00,0.00,0.00
010-243-53400,TELEPHONE,0.00,0.00,0.00,400.00
010-243-57100,IN STATE TRAVEL,"1,821.00","1,794.00","2,000.00","2,000.00"
010-243-57101,MEETINGS AND SEMINARS,350.00,325.00,600.00,600.00
010-244-52000,GENERAL EXPENSES,"2,000.00","7,097.00","8,000.00","9,346.00"
010-245-51130,"SALARY, PART-TIME","15,673.00","26,000.00","26,780.00","26,780.00"
010-245-51140,"WAGES, PART-TIME INSPECTOR","1,646.00","1,687.00","1,687.00","3,000.00"
010-245-51150,"WAGES, BACK UP INSPECTOR","1,700.00",150.00,0.00,0.00
010-245-51160,WAGES - EMERGENCY CALL OUT,100.00,0.00,800.00,800.00
010-245-51190,WAGES - ON CALL,100.00,0.00,0.00,0.00
010-245-53400,TELEPHONE,0.00,0.00,400.00,400.00
010-245-57100,IN STATE TRAVEL,"1,278.00","1,322.00","2,000.00","2,000.00"
010-245-57101,MEETINGS AND SEMINARS,130.00,75.00,400.00,400.00
010-291-51111,SALARY PART TIME,83.00,"4,225.00","5,500.00","6,000.00"
010-291-52000,GENERAL EXPENSES,0.00,0.00,500.00,500.00
010-291-53400,TELEPHONE,456.00,498.00,500.00,500.00
010-291-54200,OFFICE SUPPLIES,79.00,471.00,500.00,500.00
010-291-54220,MEDICAL SUPPLIES,"1,326.00","1,036.00","1,500.00","1,500.00"
010-291-57100,IN STATE TRAVEL,"1,000.00","1,125.00","2,000.00","2,000.00"
010-291-58500,ADDITIONAL EQUIPMENT,"1,533.00","1,954.00","2,000.00","2,000.00"
010-291-58560,GENERATOR,0.00,799.00,"1,000.00","1,000.00"
010-291-58600,COMMUNICATIONS EQUIPMENT,"3,130.00","2,000.00","2,000.00","2,000.00"
010-291-58700,REPLACEMENT EQUIPMENT,"1,486.00","1,888.00","2,000.00","2,000.00"
010-292-51110,ANIMAL CONTROL OFFICER WAGES,"19,113.00","19,591.00","20,179.00","20,784.00"
010-292-51140,CAR ALLOWANCE,"1,800.00","1,800.00","1,800.00","1,800.00"
010-292-52000,GENERAL EXPENSES,"1,019.00","7,198.00","8,000.00","8,000.00"
010-292-54000,ASSISTANT DOG OFFICER,0.00,0.00,500.00,500.00
010-292-57900,CONTRACT SERVICES,"4,251.00","7,500.00","8,225.00","8,457.00"
010-300-52000,REGULAR AND SPECIAL EDUCATION,"17,471,060.00","18,146,130.00","19,382,785.00","20,138,786.00"
010-301-52000,INDUSTRIAL SCHOOLS,"221,148.00","316,260.00","474,385.00","517,360.00"
010-301-53200,BVT TUITION,"1,995,431.00","1,891,430.00","1,609,714.00","1,583,261.00"
010-301-53201,BVT DEBT ASSESSMENT,"24,090.00","23,131.00","22,181.00","18,265.00"
010-301-56000,STATE WARDS,"18,356.00","19,161.00",0.00,0.00
010-301-56300,CHARTER SCHOOL ASSESSMENT,"47,178.00","3,550.00",0.00,0.00
010-301-56400,SPED TUITION OUT ARTICLE,"700,000.00","700,000.00",0.00,0.00
010-301-57000,SCHOOL CHOICE ASSESSMENTS,"275,864.00","283,636.00",0.00,0.00
010-422-51110,"SALARY, DEPARTMENT HEAD","97,591.00","100,031.00","103,032.00","106,123.00"
010-422-51120,"WAGES, FULL-TIME STAFF","481,973.00","483,394.00","525,783.00","545,177.00"
010-422-51310,OVERTIME,"5,757.00","5,200.00","8,000.00","8,000.00"
010-422-51900,UNIFORMS,"14,141.00","12,608.00","12,500.00","14,000.00"
010-422-52000,POLICE DETAILS,"10,250.00","2,250.00","5,000.00","5,000.00"
010-422-52100,ELECTRICITY,"3,479.00","3,211.00","5,000.00","5,000.00"
010-422-52110,HEATING,"8,294.00","5,889.00","5,000.00","5,000.00"
010-422-52400,REPAIR AND MAINT,"55,373.00","36,970.00","35,000.00","35,000.00"
010-422-53000,PROFESSIONAL AND TECHNICAL,"10,450.00","5,742.00","20,000.00","20,000.00"
010-422-53400,TELEPHONE,"1,228.00","1,296.00","1,000.00","1,000.00"
010-422-54300,BUILDING REPAIR AND MAINT,"2,315.00","2,260.00","3,000.00","3,000.00"
010-422-54310,STREET SIGNS,"2,801.00","2,357.00","3,000.00","3,000.00"
010-422-55300,PUBLIC WORKS SUPPLY,"10,241.00",0.00,0.00,0.00
010-422-55301,ROAD MATERIALS,"12,199.00","46,400.00","45,000.00","45,000.00"
010-422-55302,CONSTRUCTION MATERIALS,"7,494.00",270.00,0.00,0.00
010-422-55303,PAINTING OF ROAD LINES,"3,474.00","3,472.00","13,000.00","13,000.00"
010-422-55800,OTHER SUPPLIES,"2,677.00",256.00,0.00,0.00
010-422-57300,DUES AND SUBSCRIPTIONS,225.00,175.00,100.00,100.00
010-422-57301,LICENSES,"1,265.00","1,782.00","1,000.00","2,000.00"
010-422-57302,DRUG AND ALCOHOL TESTING,475.00,525.00,500.00,500.00
010-422-57303,TEMP. EQUIPMENT LEASES,306.00,685.00,"1,000.00","1,000.00"
010-422-58000,CONTRACT SERVICES/TREES,"54,150.00","51,760.00","50,000.00","75,000.00"
010-423-51310,OVERTIME/SEASONAL LABOR,"55,607.00","51,463.00","60,000.00","60,000.00"
010-423-52400,EQUIPMENT REPAIR,"18,032.00","31,642.00","13,000.00","13,000.00"
010-423-54800,VEHICULAR SUPPLIES,"4,974.00",69.00,"2,500.00","2,500.00"
010-423-55300,PUBLIC WORKS SUPPLY,"158,717.00","138,427.00","147,000.00","147,000.00"
010-423-57900,CONTRACT SERVICES,"29,509.00","15,744.00","27,500.00","27,500.00"
010-424-52100,ELECTRICITY,"13,425.00","21,165.00","19,000.00","20,000.00"
010-434-53000,PROFESSIONAL AND TECHNICAL,"23,500.00","25,500.00","30,000.00","30,000.00"
010-491-51130,"WAGES, CLERICAL","5,863.00","6,009.00","6,856.00","7,071.00"
010-491-51140,"WAGES, SUMMER PART TIME","8,089.00","7,164.00","8,652.00","9,000.00"
010-491-52000,GENERAL EXPENSES,39.00,0.00,0.00,0.00
010-491-52100,ELECTRICITY,661.00,609.00,800.00,800.00
010-491-52200,WATER,318.00,992.00,300.00,"1,000.00"
010-491-52400,REPAIR AND MAINTENANCE,"11,219.00","5,683.00","6,000.00","6,000.00"
010-491-52405,CEMETERY MAINTENANCE,915.00,323.00,"2,000.00","2,000.00"
010-491-53400,TELEPHONE,624.00,618.00,400.00,650.00
010-491-57900,CONTRACT SERVICES,0.00,"4,500.00","5,000.00","5,000.00"
010-491-58700,REPLACEMENT EQUIPMENT,0.00,"2,185.00","2,000.00","2,000.00"
010-510-51130,"WAGES, CLERICAL","24,507.00","25,128.00","41,842.00","43,097.00"
010-510-51150,"WAGES, TOWN NURSE","59,273.00","60,754.00","62,578.00","64,455.00"
010-510-51380,"WAGES, LONGEVITY",0.00,0.00,0.00,800.00
010-510-52000,GENERAL EXPENSES,0.00,185.00,800.00,800.00
010-510-53000,PROFESSIONAL AND TECHNICAL,"2,312.00",76.00,"1,500.00","1,500.00"
010-510-53010,ADVERTISING,125.00,0.00,350.00,350.00
010-510-53400,TELEPHONE,66.00,72.00,"1,450.00","1,450.00"
010-510-54200,OFFICE SUPPLIES,40.00,0.00,250.00,250.00
010-510-57100,IN STATE TRAVEL,"1,023.00","1,101.00","1,200.00","1,200.00"
010-510-57300,DUES AND SUBSCRIPTIONS,270.00,0.00,750.00,750.00
010-510-57400,HAZARDOUS WASTE REMOVAL,0.00,0.00,0.00,800.00
010-510-57901,INSPECTIONS,"4,250.00","3,788.00","5,000.00","5,000.00"
010-541-51120,"SALARY, COA COORDINATOR","68,113.00","69,816.00","71,910.00","74,067.00"
010-541-51130,"WAGES, CLERICAL","30,240.00","30,858.00","31,799.00","32,753.00"
010-541-51140,"WAGES, PART TIME","8,684.00",0.00,"28,333.00","29,183.00"
010-541-51160,"WAGES, VAN DRIVER","17,278.00","18,426.00","22,707.00","23,388.00"
010-541-51380,"WAGES, LONGEVITY",0.00,0.00,200.00,0.00
010-541-52100,ELECTRICITY,"3,960.00","5,741.00","5,000.00","5,500.00"
010-541-52200,HEATING,"6,127.00","5,254.00","5,000.00","5,500.00"
010-541-52300,WATER AND SEWER,621.00,558.00,"1,500.00","1,500.00"
010-541-52400,REPAIR AND MAINT,"6,204.00","6,077.00","5,000.00","5,000.00"
010-541-53400,TELEPHONE,"3,282.00","2,938.00","3,500.00","4,000.00"
010-541-53500,RECREATIONAL,803.00,972.00,600.00,600.00
010-541-54200,OFFICE SUPPLIES,"3,274.00","3,666.00","2,500.00","3,000.00"
010-541-57300,DUES AND SUBSCRIPTIONS,505.00,680.00,"1,000.00",0.00
010-541-57900,CONTRACT SERVICES,"3,151.00","5,943.00","6,000.00","6,000.00"
010-541-58700,REPLACEMENT EQUIPMENT,"2,545.00","2,839.00","3,500.00","4,000.00"
010-543-51130,AGENT SALARY PART-TIME,"14,642.00","14,170.00","21,433.00","22,500.00"
010-543-51140,"WAGES, ASSISTANT",0.00,0.00,"4,300.00","4,500.00"
010-543-52000,GENERAL EXPENSES,"1,411.00",916.00,"7,000.00","7,000.00"
010-543-57700,VETERANS BENEFITS,"40,558.00","50,376.00","55,000.00","55,000.00"
010-610-51130,"SALARY, DIRECTOR","62,209.00","63,762.00","69,795.00","71,889.00"
010-610-51140,"WAGES, AIDES PART-TIME","84,620.00","83,477.00","98,785.00","100,119.00"
010-610-51150,"WAGES, YOUTH SERVICES","40,998.00","30,969.00","46,372.00","47,520.00"
010-610-52400,REPAIR AND MAINTENANCE,872.00,900.00,900.00,500.00
010-610-54200,OFFICE SUPPLIES,"1,000.00","1,000.00","1,000.00",500.00
010-610-57300,DUES AND SUBSCRIPTIONS,390.00,400.00,400.00,500.00
010-610-57301,BOOKS AND PERIODICALS,"44,132.00","46,000.00","46,000.00","47,500.00"
